,0,1,2,3,4,5,6,7,HH,freq,rk,ra,u1,u2,k5,k8
894,2.0,11.0,17.0,15.0,12.0,12.0,12.0,13.0,33852034240.0,5529.0,12919002.0,0.4580748632991214,1.419895,9.691485,4,1
895,1.0,15.0,11.0,13.0,13.0,12.0,12.0,12.0,31357886495.0,5526.0,12924528.0,0.4582708011660395,1.5360177,1.4365007,1,4
896,0.0,11.0,13.0,12.0,12.0,12.0,13.0,13.0,33965380262.0,5522.0,12930050.0,0.4584665972031589,5.2268624,0.16653924,3,6
897,2.0,16.0,15.0,14.0,12.0,12.0,12.0,12.0,31357664846.0,5520.0,12935570.0,0.458662322325379,0.39188743,6.377517,4,7
898,1.0,9.0,15.0,11.0,12.0,11.0,12.0,12.0,31352479115.0,5503.0,12941073.0,0.4588574446709545,6.7824416,5.6880646,2,3
899,1.0,10.0,15.0,14.0,11.0,13.0,12.0,13.0,33856941977.0,5494.0,12946567.0,0.459052247899483,6.190251,4.2761383,5,3
900,1.0,12.0,17.0,13.0,12.0,11.0,12.0,12.0,31352501445.0,5481.0,12952048.0,0.4592465901811656,4.753147,4.547642,5,8
901,1.0,14.0,14.0,14.0,11.0,12.0,11.0,12.0,31244050157.0,5470.0,12957518.0,0.4594405424309018,3.1035814,3.4573772,5,2
902,1.0,13.0,16.0,12.0,11.0,11.0,12.0,12.0,31352256079.0,5459.0,12962977.0,0.4596341046486915,4.079739,4.686746,5,8
903,2.0,15.0,16.0,10.0,13.0,10.0,13.0,12.0,31460929612.0,5454.0,12968431.0,0.4598274895792328,2.2099416,6.800794,4,7
904,1.0,16.0,14.0,11.0,12.0,10.0,12.0,12.0,31347325153.0,5452.0,12973883.0,0.4600208035948748,1.7674108,4.621826,5,2
905,1.0,15.0,15.0,13.0,12.0,11.0,11.0,12.0,31239120639.0,5451.0,12979334.0,0.4602140821530672,2.6057858,3.9506872,5,2
906,1.0,14.0,15.0,13.0,12.0,11.0,12.0,12.0,31352500521.0,5442.0,12984776.0,0.4604070415942123,3.2255833,4.0385666,5,2
907,2.0,12.0,17.0,15.0,12.0,12.0,12.0,13.0,33852034262.0,5439.0,12990215.0,0.4605998946630085,1.3048158,9.623828,4,1
908,1.0,17.0,11.0,13.0,11.0,12.0,11.0,12.0,31244038123.0,5434.0,12995649.0,0.4607925704445563,0.8600652,1.4607905,1,4
909,0.0,13.0,14.0,13.0,11.0,12.0,12.0,13.0,33851777278.0,5432.0,13001081.0,0.4609851753112047,4.522008,0.57736063,3,6
910,1.0,17.0,13.0,12.0,12.0,11.0,11.0,12.0,31239109067.0,5415.0,13006496.0,0.4611771774012086,1.3607775,2.86529,1,2
911,1.0,17.0,11.0,11.0,13.0,12.0,12.0,12.0,31357865243.0,5407.0,13011903.0,0.4613688958316151,0.40885237,1.9028456,1,4
912,0.0,12.0,10.0,12.0,12.0,11.0,11.0,12.0,31239107504.0,5404.0,13017307.0,0.4615605078896726,3.4681754,-1.126336,3,6
913,1.0,8.0,14.0,13.0,11.0,12.0,12.0,12.0,31357419281.0,5400.0,13022707.0,0.4617519781179314,7.6198473,5.0565634,2,3
914,1.0,16.0,15.0,13.0,12.0,11.0,12.0,12.0,31352500565.0,5397.0,13028104.0,0.461943341973841,2.1076465,4.2034464,5,2
915,0.0,12.0,13.0,13.0,12.0,12.0,12.0,12.0,31357653140.0,5389.0,13033493.0,0.4621344221701533,4.7114544,0.049018726,3,6
916,1.0,13.0,15.0,11.0,12.0,10.0,12.0,12.0,31347325571.0,5388.0,13038881.0,0.462325466909016,3.7987494,5.2903323,5,8
